comments,Label
b'Old Man & Young Girl Wild Sex',1
b'wild.sex',1
b'Sex',1
b'Pm me i need girl soc',1
b'I MISS MI PEN IS',1
b'girls who wants sex? pm me',1
b'Wildsex',1
b'#xnxx',1
b'Learn more about octopus sex in this Wild Sex episode: https://www.facebook.com/WildSex/videos/159758061245542/',1
b'Sex',1
b'do marry me only for sex\ncooking\nwashing\nand giving of birth .....which....',1
b'Who wants to have sex',1
b'I love sex like I love me',1
b'Ugh sex please',1
b'Sex is very good',1
b'Donload sex',1
b'Add me girls..for sex',1
b'Ugh!! add me! Girls only videocall? And chat..',1
b'Humansex',1
"b'If someone have to say that sex is verry good than anything you do like,what would you do or say to thatone?'",1
b'Shay Lawrence extreme DP extreme MILF sluts gone wild',1
b'Fuck',1
b'Hi. I want sexy girl',1
b'Anyone girl sex with. Me',1
b'Talk about a gang sex',1
"b'Trojan Ultra Ribbed Lubricated Condoms, 36 count https://goo.gl/26jJcL Price: $13.75 ($0.38 / Count) $14.47 Save $0.72 (5%) About the product \xe2\x80\xa2\tLatex \xe2\x80\xa2\tMade in USA \xe2\x80\xa2\tFeatures deeper ribs along the entire condom to increase stimulation \xe2\x80\xa2\tMade from premium quality latex to help reduce the risk \xe2\x80\xa2\tContains a silky-smooth lubricant for comfort and sensitivity \xe2\x80\xa2\tThe special reservoir tip provides extra safety and the tapered base ensures a secure fit \xe2\x80\xa2\tElectronically tested to help ensure reliability'",1
b'Scandal',1
b'Mga sex',1
b'Wtf',1
b'sexvido',1
"b'If someone have to say that sex is verry good than anything you do like,what would you do or say to thatone?'",1
"b'Trojan Ultra Ribbed Lubricated Condoms, 36 count https://goo.gl/26jJcL Price: $13.75 ($0.38 / Count) $14.47 Save $0.72 (5%) About the product \xe2\x80\xa2\tLatex \xe2\x80\xa2\tMade in USA \xe2\x80\xa2\tFeatures deeper ribs along the entire condom to increase stimulation \xe2\x80\xa2\tMade from premium quality latex to help reduce the risk \xe2\x80\xa2\tContains a silky-smooth lubricant for comfort and sensitivity \xe2\x80\xa2\tThe special reservoir tip provides extra safety and the tapered base ensures a secure fit \xe2\x80\xa2\tElectronically tested to help ensure reliability'",1
b'Stephenie Ang Ching Shan Lai Janice Tsoi fucking cute!',1
b'Why are you slut shamming this frog?! \xf0\x9f\xa4\xa3',1
b'Sex',1
b'Check out this Wild Sex episode next! https://www.facebook.com/WildSex/videos/184490158772332/',1
"b""I don't like this vedio or photos scandal""",1
b'Could anyone explain how copulation happens in this case?',1
"b'Jordan Nguyen wow female hyenas have vaginas that look like a dick, the more u know'",1
"b'girls..  knock me.... I well show you my drick,,..I ts soo sexy drick'",1
"b""Jonathan Rosendo Ramos traps aren't gay, they just have inside out vegena :~)""",1
"b'Try out beautiful ladies who feel lonely and unhappy SLM fantasies you never knew me the doors of a world with different space, taste and briefly peaks out of the sad be happy, if you want to meet 0542 418 67 50 Dec'",1
b'\xd8\xaf\xd9\x88\xd8\xaf\xd9\x88 \xd8\xaf\xd9\x88 when we found a small rat in the males box \nthat female which was there got locked so many times then',1
"b""WHY CAN'T WE BLOG THE FEMALE VEGINA. IT'S REALLY COOL.""",1
b'Oh so that\xe2\x80\x99s what was coming out of my female hamster after my male hamster gave her some lovin....',1
"b""Chantal Rovers, Arjen says you'd find this interesting.""",1
"b""I don't get what the big deal is with spiders. Why is everyone so scared of them?\n\nI got to know the spider living in the corner of my room. We talked about our dreams and goals, he wants to be a Web designer.""",1
b'I thought this was called prostitution\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1
b'Durant Goth I think I died laughing at this',0
"b'Andrew Scheid, look what they did now! This is great!'",0
b'Kimberly Maupin them tree frogs',0
b'Its very interesting',0
b'That song will never be the same again. Thought I was going to be watching animal kingdom doco . yes I watched it all n well done.',0
b'hahaha its soo funny!!!\xf0\x9f\x98\x9b',0
b'Merry XXXmas!!',0
b'Can you see these any place besides Facebook?',0
"b'This is insane, hahaha \xf0\x9f\xa4\xa3'",0
b'Its all Gods creature which shows his greatness',0
"b""So, is it a childrens' inspirational muvie production site??""",0
b'PTPA Hi guys\r\n\xf0\x9f\x8f\xbbPwede po ba paki like ang page na\r\nTanga Problem  \xe3\x83\x84\r\nHiring po sila ng admin pm lang ang page.\r\n.Pwede din po magsend ng confession at realtalk',0
b'What the hell animals doing???',0
b'Great I which I get lady pal for pratical',0
b'Uhu bt how many types of hells do satan has?\nthat z also a #hell',0
b'So friggin funny',0
b'How do i remove THIS?',0
b'Nice',0
b'BBC lover add me',0
b'Very nice to frog and rat ....',0
b'Thanks for you !',0
b'Cool',0
b'the christmast are not good to make like that',0
b'Accept me this group',0
"b""It's very incredible.""",0
b'i will report you',0
b'I want to join',0
b'who do dis',0
b'Im free',0
"b'These videos are brilliant, thank you :-)'",0
b'how many of them survived?',0
b'Nature of this life',0
b'O541 858 6498',0
"b""Except pedipalps aren't penises...Females have pedipalps too. They're like shorter legs (arms). Males just have modified ones to store and deposit sperm..""",0
"b""Spiders don't hump, and their pedipalps are not penises, they are modified legs.""",0
"b""Well, it's good to learn something new every day!""",0
"b""I got a notice for the new episode in my notifications tab, and I don't even follow this page lol""",0
b'I call myself spider when its time too lay it down i will get creepy and crawly up in it \xf0\x9f\x98\x8e\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f lmao',0
b'These are the most interesting videos keep it up',0
"b""So... I didn't realize you guys weren't on youtube...""",0
"b""We know this about spiders...but can't find a cure for common stupidity??""",0
b'This turned interesting. ..wow I think of what the pig see in charlets Web..',0
b'I knew orb weaver spiders were my fav \xf0\x9f\xa4\xa3',0
b'My personality is used much in the same way. \xf0\x9f\x98\x8e',0
b'Britt they even work together',0
"b""Matthew Alden Lyons you should watch all of these, they're pretty cool!""",0
b'Damn \xf0\x9f\xa4\x94 even spiders are friendzoned. Then who am I??',0
b'Decussting dont no how I got this site now deleting',0
b'I will see this movies',0
"b""Nani Schneider isn't nature lovely""",0
b'Put people not mice',0
b'Please make one about nudibranchs (sea slugs)! Thank you and love you guys!',0
b'Love the commentator and the way she describes the thingy ..',0
b'DAT frog Is a Hoe man lol',0
"b'Ndung\'u, I lost it at the ""supertramp"" comment near the end \xf0\x9f\x98\x82'",0
b'I watched this 5 times!!!!',0
b'Love this channel so much!!!!',0
"b""Hyla means tree frog, right? Do you like that you're kind of named after this frog? Megan Gilbs  \xf0\x9f\x98\x82""",0
b'Ducks! Would love to see an episode about ducks and the spiralized male sec organs.',0
b'lol super Tramp frog Majdi Sleimen',0
b'When she acts like a super tramp... LMAO!',0
b'Ariela if I gotta watch this.. You will too \xf0\x9f\xa4\xa3',0
"b""Andy Gerard, did you know this? Yuck don't know if I want to be a frog no more.""",0
b'Pfft most promiscuous... Clearly never watched the Maury Show.',0
b'Brittany Lohr yo show mike and read and watch this it had me geekin shits whack',0
b'Tim Robinson this is the funniest shit',0
b'Shanen Louis yo there\xe2\x80\x99s some spicy animal facts on this page imma like itttttt',0
b'Ashley Demel just thought u shld know',0
b'Do an alligator hopefully science has figured that out',0
b'Tramp? Promiscuous? Just nature maybe?',0
b'Hopefully Verizon can get their shit together',0
b'gotta clean the junk before you jump up and hump',0
"b""What ever u want. I'll give you.""",0
b'its like a ROBUST',0
b'That was more than I needed to know',0
"b""The reason it's easier for females in later births is because their scar tissue when rips heal is stretchy.\n\nThe more they tear the more likely to have successful births later on.""",0
"b""Maxime Plante Ton fun animal fact of the week !!!\nc.c. Antoine Desch\xc3\xaanes, toi qui \xc3\xa9tait jaloux que je tag Max dans des fun facts d'animaux !""",0
"b""This is the animal I've been waiting for you to make a video on.""",0
b'You guys are so awesome! Thank you for making this. It is information and fun!',0
b'I love this page you should do an episode on hangingflies',0
"b'Hey yo man I wanna know how vampire bats reproduce, cuz fruit bats do it differently right?'",0
b'Mariana k woah I thought only humans did this',0
b'How about prairie dog or elephants or draft',0
b'Chase Strange lol the more you know',0
b'maybe make that sense hyenas from the lion king Shenzi was bossy...',0
b'Danielle Braim who does this remind you of',0
b'This was so cool and weird Morgan Keoughan',0
"b""So that's why Shenzi was the leader on Lion King.""",0
b'Katie Farmer Bekki Walker here we go a recap of last weeks lecture \xf0\x9f\x98\x82\xf0\x9f\x98\x82',0
b'Keeping y\xe2\x80\x99all educated on weird mating behaviors Temple Lindsay Andrew',0
b'The Dragonfly!!!  It has some unique strategies :)',0
b'Erin Bouchard weirdest animal fact I\xe2\x80\x99ve ever learned \xf0\x9f\x98\x82',0
"b""Here's something to start your day right... Bastiaan Boon absolutely love this page""",0
b'Literally what. Just learned so much Stephen Schmidt',0
b'Arlen \xc3\x86vum remember when I talked about this',0
b'Joe Wong this is close to what is written in the book i sent you',0
"b""isnt this only one sub species that's like this though?""",0
b'These graphics just got me sad!',0
b'Its natural social life.',0
"b""Ducks - Mallards - the curly penis/vagina thing and the fake vaginas and the gang rapes. Oh no. The gang rapes.\nAnd penguins though wasn't that so bad it was covered up for ages after it was first discovered? Maybe too harsh for facebook...""",0
"b""Velvet worms are similar in the way that they have matriarchal societies and the females pick their mates. I don't think they have dicks, though""",0
b'Remember to repent. Jesus Christ comes soon and antichrist will take his place soon. Avoid RFID chip.  Pope Francis is the false prophet. Without holiness no man shall see the Lord. Rapture coming soon. Pray',0
"b""As if mice and rats weren't sneaky enough before me finding this out.. Lol""",0
"b""So that's why my partner  wants to do it in the shower.""",0
b'Life is already so much confusing don\xe2\x80\x99t make for us more confusing \xf0\x9f\x98\x82',0
b'Rats are so many in our place! How to control thier population?',0
b'Pratheeksha K Seetharama Thanks for introducing me to this channel. Also further proof that MEN ARE TRASH',0
"b""I've played dead before.  He didn't care.""",0
b'Ready for something \xe2\x80\x9csexy?\xe2\x80\x9d This series is amazing. It needs to be on Netflix!',0
"b""O my god Jen Cruz. This is \xc2\xbf? I don't know I am speechless.""",0
b'How about cats what is all that noise about?',0
b'Shania! What kind of videos are you watching!!! \xf0\x9f\x98\x82',0
"b'Ketuny Francieli essas anima\xc3\xa7\xc3\xb5es s\xc3\xa3o toppezera, depois procura do louva deus'",0
b'Cats why do they cry so loud',0
"b'Sam DiDonato Even female spiders get duped by sleazy, cheap men smh'",0
"b""I'll give you a lock of hair. I have a little to spare...lol""",0
"b""So who learns from whom?  Young boys learn from mammals? That's how they learn how to cheat or con women?! Smh""",0
b'Whole new level of respect!',0
b'Wonderful!  Quite parallel to humans.',0
